seed;;n;;k;;p;;algo;;weight;;result
40;;4;;9;;1;;"ball_tree";;"distance";;0.251159001928043
40;;4;;9;;1;;"ball_tree";;"uniform";;0.2619361688328236
40;;4;;9;;1;;"kd_tree";;"distance";;0.251104704862446
40;;4;;9;;1;;"kd_tree";;"uniform";;0.2617738411605786
40;;4;;9;;1;;"brute";;"distance";;0.2510063626022208
40;;4;;9;;1;;"brute";;"uniform";;0.2608510166648821
40;;4;;10;;1;;"ball_tree";;"distance";;0.2521308466302608
40;;4;;10;;1;;"ball_tree";;"uniform";;0.2649571917512437
40;;4;;10;;1;;"kd_tree";;"distance";;0.2517144558979505
40;;4;;10;;1;;"kd_tree";;"uniform";;0.26425888230303385
40;;4;;10;;1;;"brute";;"distance";;0.25161313705129484
40;;4;;10;;1;;"brute";;"uniform";;0.2635896675713191
40;;5;;9;;1;;"ball_tree";;"distance";;0.22648394835690625
40;;5;;9;;1;;"ball_tree";;"uniform";;0.21998443881771843
40;;5;;9;;1;;"kd_tree";;"distance";;0.22641679654178093
40;;5;;9;;1;;"kd_tree";;"uniform";;0.2198130291139776
40;;5;;9;;1;;"brute";;"distance";;0.22644948608204726
40;;5;;9;;1;;"brute";;"uniform";;0.21976954802595247
40;;5;;10;;1;;"ball_tree";;"distance";;0.22536109509763952
40;;5;;10;;1;;"ball_tree";;"uniform";;0.2189365193971223
40;;5;;10;;1;;"kd_tree";;"distance";;0.22536869466007917
40;;5;;10;;1;;"kd_tree";;"uniform";;0.21895308118868226
40;;5;;10;;1;;"brute";;"distance";;0.22520906439503952
40;;5;;10;;1;;"brute";;"uniform";;0.2186292232755027
41;;4;;9;;1;;"ball_tree";;"distance";;0.2363978529643151
41;;4;;9;;1;;"ball_tree";;"uniform";;0.24126305734399958
41;;4;;9;;1;;"kd_tree";;"distance";;0.23606120371375885
41;;4;;9;;1;;"kd_tree";;"uniform";;0.2404654867819378
41;;4;;9;;1;;"brute";;"distance";;0.2367136580694506
41;;4;;9;;1;;"brute";;"uniform";;0.2414186479363093
41;;4;;10;;1;;"ball_tree";;"distance";;0.23603025171080003
41;;4;;10;;1;;"ball_tree";;"uniform";;0.24050633816371153
41;;4;;10;;1;;"kd_tree";;"distance";;0.2357010342523623
41;;4;;10;;1;;"kd_tree";;"uniform";;0.23996741678913278
41;;4;;10;;1;;"brute";;"distance";;0.2361354727450167
41;;4;;10;;1;;"brute";;"uniform";;0.24043417123451322
41;;5;;9;;1;;"ball_tree";;"distance";;0.21779147459174852
41;;5;;9;;1;;"ball_tree";;"uniform";;0.2180397510539271
41;;5;;9;;1;;"kd_tree";;"distance";;0.21778233850276582
41;;5;;9;;1;;"kd_tree";;"uniform";;0.21807704691364188
41;;5;;9;;1;;"brute";;"distance";;0.2176355673462629
41;;5;;9;;1;;"brute";;"uniform";;0.21769576437146468
41;;5;;10;;1;;"ball_tree";;"distance";;0.2183645009425345
41;;5;;10;;1;;"ball_tree";;"uniform";;0.22016297600551574
41;;5;;10;;1;;"kd_tree";;"distance";;0.21834845114187967
41;;5;;10;;1;;"kd_tree";;"uniform";;0.2199596116220771
41;;5;;10;;1;;"brute";;"distance";;0.21831941802117535
41;;5;;10;;1;;"brute";;"uniform";;0.22006104016170216
